feature,importance,scenario,asof_tag
ndvi_at_das_90,0.25945594395540766,all_crops,08_01
ndvi_at_das_120,0.8256221649280264,all_crops,08_01
ndvi_sow_peak_gdd,0.5844508405357997,all_crops,08_01
ndvi_at_sow_gdd_200,0.06389988189752821,all_crops,08_01
ndvi_at_sow_gdd_400,0.23631443070290298,all_crops,08_01
ndvi_at_sow_gdd_600,0.34258952094929523,all_crops,08_01
ndvi_at_sow_gdd_800,1.594067265057595,all_crops,08_01
ndvi_at_sow_gdd_1000,0.1300265709769958,all_crops,08_01
ndvi_at_sow_gdd_1200,0.03542659260770345,all_crops,08_01
ndvi_growth_per_100gdd_from_sow,0.7295861502713007,all_crops,08_01
scout_n_reports_asof,0.025849175052939478,all_crops,08_01
scout_has_report_asof,0.05610678036575337,all_crops,08_01
soil_sample_n_asof,0.020339916171464464,all_crops,08_01
soil_sample_has_asof,0.0,all_crops,08_01
soil_sample_days_since_latest,0.22902852392988388,all_crops,08_01
soil_sample_n_tests_asof,0.0,all_crops,08_01
soil_sample_latest_soil_K,0.11280550683814287,all_crops,08_01
soil_sample_mean_soil_K,0.015226914309003744,all_crops,08_01
soil_sample_latest_soil_P,0.06869286927568664,all_crops,08_01
soil_sample_mean_soil_P,0.15140998999628041,all_crops,08_01
soil_sample_latest_soil_S,0.0,all_crops,08_01
soil_sample_mean_soil_S,0.05978770569822035,all_crops,08_01
soil_sample_latest_soil_Cu,0.013684589340633308,all_crops,08_01
soil_sample_mean_soil_Cu,0.24641239141432802,all_crops,08_01
soil_sample_latest_soil_Fe,0.04050998159214874,all_crops,08_01
soil_sample_mean_soil_Fe,0.4801975516790128,all_crops,08_01
soil_sample_latest_soil_Mg,0.01313844198250939,all_crops,08_01
soil_sample_mean_soil_Mg,0.2157877967036482,all_crops,08_01
soil_sample_latest_soil_Mn,0.1654325322870328,all_crops,08_01
soil_sample_mean_soil_Mn,0.24944672606184523,all_crops,08_01
soil_sample_latest_soil_Mo,0.048986681711531914,all_crops,08_01
soil_sample_mean_soil_Mo,0.144996917825619,all_crops,08_01
soil_sample_latest_soil_Zn,0.06214094813132716,all_crops,08_01
soil_sample_mean_soil_Zn,0.12051494127726324,all_crops,08_01
soil_sample_latest_soil_pH,0.0034538495468101685,all_crops,08_01
soil_sample_mean_soil_pH,0.008608918744485142,all_crops,08_01
soil_sample_latest_soil_N_NO3,0.045076898365666064,all_crops,08_01
soil_sample_mean_soil_N_NO3,0.02939808696381885,all_crops,08_01
soil_sample_latest_soil_organic_matter,0.05783183218435014,all_crops,08_01
soil_sample_mean_soil_organic_matter,0.07871866308937929,all_crops,08_01
soil_sample_latest_soil_B,0.001479905240656464,all_crops,08_01
soil_sample_mean_soil_B,0.0038145438035634464,all_crops,08_01
soil_sample_latest_soil_N,0.004860284725864938,all_crops,08_01
soil_sample_mean_soil_N,0.0,all_crops,08_01
scout_last_report_doy,0.6193908209634734,all_crops,08_01
scout_days_since_last_report,0.8056971171635849,all_crops,08_01
scout_growth_stage_max,0.017877378463977047,all_crops,08_01
scout_growth_stage_last,0.01369612298694603,all_crops,08_01
scout_risk_yield_decreasing_n,0.20480026893315656,all_crops,08_01
scout_risk_yield_decreasing_any,0.08073042280888337,all_crops,08_01
scout_condition_score_min,0.4479064678817921,all_crops,08_01
scout_condition_score_last,0.0986219176086253,all_crops,08_01
scout_condition_bad_n,0.3691015762442214,all_crops,08_01
scout_condition_not_good_n,0.5792583591025947,all_crops,08_01
scout_threat_reports_n,0.11847275336827441,all_crops,08_01
scout_threat_total_n,0.006760976186117064,all_crops,08_01
scout_threat_disease_any,0.0,all_crops,08_01
scout_threat_insect_any,0.0,all_crops,08_01
scout_threat_weed_any,0.0,all_crops,08_01
mgmt_ops_n_asof,0.19204483883472917,all_crops,08_01
mgmt_has_ops_asof,0.0,all_crops,08_01
mgmt_op_application_n,0.5798732995704684,all_crops,08_01
mgmt_op_soil_n,0.6161046203069113,all_crops,08_01
mgmt_op_other_n,0.35574089204814585,all_crops,08_01
mgmt_subtype_harrowing_n,0.09895105496946074,all_crops,08_01
mgmt_subtype_discing_n,0.3839284113587533,all_crops,08_01
mgmt_fertilizer_items_n,0.13906076033923043,all_crops,08_01
mgmt_fertilizer_fact_rate_sum,0.19816796122946073,all_crops,08_01
mgmt_seed_items_n,0.00637278269650298,all_crops,08_01
