field_id,year,standard_name_x,physical_t_ha,productivity_t_ha,physical_t_ha_raw,productivity_raw,additional_raw,additional_t_ha,additional_crop_id,estimate_raw_max,estimate_t_ha_max,prod_crop_ru,prod_fact_t_ha,prod_forecast_t_ha,yield_map_t_ha,yield_map_n,standard_name_y,factual_target_t_ha,factual_target_source,spread_t_ha,sources_used
226,2022,wheat_spring,1.6934999999999998,1.6934999999999998,1.6934999999999998,16.935,,,,29.26,2.926,Пшеница яровая,1.6934999999999998,2.926,,,wheat_spring,1.6934999999999998,physical_harvested_weight,1.2325000000000004,physical_t_ha;productivity_t_ha;estimate_t_ha_max;prod_fact_t_ha;factual_target_t_ha
225,2020,wheat_spring,,2.335,,23.35,,,,35.471,3.5470999999999995,Пшеница яровая,2.335,3.5470999999999995,,,wheat_spring,2.335,productivity_normalized,1.2120999999999995,productivity_t_ha;estimate_t_ha_max;prod_fact_t_ha;factual_target_t_ha
207,2018,sunflower,,3.496,,34.96,,,,22.995,2.2995,Подсолнечник,3.496,2.2995,,,sunflower,3.496,productivity_normalized,1.1965,productivity_t_ha;estimate_t_ha_max;prod_fact_t_ha;factual_target_t_ha
212,2025,wheat_spring,1.7024264705882353,1.7024265,1.7024264705882353,17.024265,,,,28.967,2.8967,Пшеница яровая,1.7024265,2.8967,,,wheat_spring,1.7024264705882353,physical_harvested_weight,1.1942735294117648,physical_t_ha;productivity_t_ha;estimate_t_ha_max;prod_fact_t_ha;factual_target_t_ha
224,2017,oil_seed_raps_spring,,0.6639999999999999,,6.64,,,,18.488,1.8488,,,,,,oil_seed_raps_spring,0.6639999999999999,productivity_normalized,1.1848,productivity_t_ha;estimate_t_ha_max;factual_target_t_ha
197,2021,barley_spring,2.5284548104956266,2.5965868,2.5284548104956266,25.965868,,,,37.068,3.7068,Ячмень яровой,2.5965868,3.7068,,,barley_spring,2.5284548104956266,physical_harvested_weight,1.1783451895043733,physical_t_ha;productivity_t_ha;estimate_t_ha_max;prod_fact_t_ha;factual_target_t_ha
229,2024,sunflower,3.2544166666666663,3.2544167,3.2544166666666663,32.544167,,,,20.838,2.0838,Подсолнечник,3.2544167,2.0838,2.69,2.0,sunflower,3.2544166666666663,physical_harvested_weight,1.1706167,physical_t_ha;productivity_t_ha;estimate_t_ha_max;prod_fact_t_ha;yield_map_t_ha;factual_target_t_ha
219,2017,wheat_winter,,1.873,,18.73,,,,30.346,3.0346,,,,,,wheat_winter,1.873,productivity_normalized,1.1616000000000002,productivity_t_ha;estimate_t_ha_max;factual_target_t_ha
231,2025,pea,1.3324255319148937,1.3324255,1.3324255319148937,13.324255,,,,24.7,2.4699999999999998,Горох,1.3324255,2.4699999999999998,,,pea,1.3324255319148937,physical_harvested_weight,1.1375744999999997,physical_t_ha;productivity_t_ha;estimate_t_ha_max;prod_fact_t_ha;factual_target_t_ha
197,2023,wheat_winter,1.0820991253644316,1.0820991,1.0820991253644316,10.820991,,,,21.737,2.1736999999999997,Пшеница озимая,1.0820991,2.1736999999999997,,,wheat_winter,1.0820991253644316,physical_harvested_weight,1.0916008999999998,physical_t_ha;productivity_t_ha;estimate_t_ha_max;prod_fact_t_ha;factual_target_t_ha
234,2022,wheat_spring,3.975428571428571,3.9754286,3.975428571428571,39.754286,,,,35.318,3.5317999999999996,Пшеница яровая,3.9754286,3.5317999999999996,2.8842857142857143,1.0,wheat_spring,3.975428571428571,physical_harvested_weight,1.0911428857142855,physical_t_ha;productivity_t_ha;estimate_t_ha_max;prod_fact_t_ha;yield_map_t_ha;factual_target_t_ha
207,2023,wheat_winter,1.0689748444684881,1.0778181999999998,1.0689748444684881,10.778182,,,,21.542,2.1542000000000003,Пшеница озимая,1.0778181999999998,2.1542000000000003,,,wheat_winter,1.068974844468488,physical_harvested_weight,1.0852251555315124,physical_t_ha;productivity_t_ha;estimate_t_ha_max;prod_fact_t_ha;factual_target_t_ha
229,2020,wheat_winter,,3.285,,32.85,,,,22.21,2.221,Пшеница озимая,3.285,2.221,,,wheat_winter,3.285,productivity_normalized,1.064,productivity_t_ha;estimate_t_ha_max;prod_fact_t_ha;factual_target_t_ha
208,2022,wheat_spring,2.356923076923077,2.3569231,2.356923076923077,23.569231,,,,34.204,3.4204,Пшеница яровая,2.3569231,3.4204,2.593431952662722,1.0,wheat_spring,2.356923076923077,physical_harvested_weight,1.063476923076923,physical_t_ha;productivity_t_ha;estimate_t_ha_max;prod_fact_t_ha;yield_map_t_ha;factual_target_t_ha
195,2022,wheat_winter,2.1216260162601626,2.121626,2.1216260162601626,21.21626,,,,24.872,2.4872,Пшеница озимая,2.121626,2.4872,1.447265625,1.0,wheat_winter,2.1216260162601626,physical_harvested_weight,1.039934375,physical_t_ha;productivity_t_ha;estimate_t_ha_max;prod_fact_t_ha;yield_map_t_ha;factual_target_t_ha
230,2021,wheat_winter,2.123766816143498,2.1237668,2.123766816143498,21.237668,,,,31.34,3.134,Пшеница озимая,2.1237668,3.134,,,wheat_winter,2.123766816143498,physical_harvested_weight,1.0102332,physical_t_ha;productivity_t_ha;estimate_t_ha_max;prod_fact_t_ha;factual_target_t_ha
